Question,Answer
How much CO$_2$ per year does the Aramis project aim to store initially and by 2030?,The Aramis project aims to store 5 million tonnes per year initially and over 8 million tonnes per year by 2030.
What are the potential reductions in CO$_2$ emissions by 2030 for the Seine Axis and Antwerp@C hubs?,"The Seine Axis hub could contribute to a reduction of up to 3 million tonnes per year by 2030, while the Antwerp@C hub could contribute to a reduction of up to 9 million tonnes per year by 2030."
What is the name of the CCS project in Norway that is already in the construction phase?,"The Longship project, or more accurately Northern Lights, is the CCS project in Norway that is already in the construction phase."
How much CO$_2$ per year could be collected and stored by 2026 in the Northern Endurance Partnership (NEP) project?,"By 2026, 4 million tonnes of CO$_2$ per year could be collected and stored in the Northern Endurance Partnership (NEP) project."
What is the total capacity of the new CO$_2$ capture facilities invested in by the Longship project in Norway?,"The total capacity of the new CO$_2$ capture facilities invested in by the Longship project in Norway is 800,000 tonnes per year."
How many subsea injection wells will the initial development of the Northern Endurance Partnership (NEP) project require?,The initial development of the Northern Endurance Partnership (NEP) project will require five subsea injection wells to be drilled.
What is the name of the 860-megawatt (MW) power station that will be equipped with a CO$_2$ capture system in the UK?,The 860-megawatt (MW) power station in the UK that will be equipped with a CO$_2$ capture system is the Net Zero Teesside (NZT) Power station.
Which companies are part of the consortium/joint venture formed for the Longship project in Norway?,"Equinor, Shell, and TotalEnergies are part of the consortium/joint venture formed for the Longship project in Norway."
What is the estimated storage capacity of the depleted gas fields in the Maasvlakte industrial park in the port of Rotterdam?,The estimated storage capacity of the depleted gas fields in the Maasvlakte industrial park in the port of Rotterdam is 400 million tonnes of CO$_2$.
"Which region was selected by British authorities for decarbonization by the middle of the 2020s, with the Northern Endurance Partnership (NEP) chosen for the gathering and storage project?","The Teesside and Humberside region was selected by British authorities for decarbonization by the middle of the 2020s, with the Northern Endurance Partnership (NEP) chosen for the gathering and storage project."
"What is the Longship project in Norway, and what is its goal regarding CO$_2$ emissions?",The Longship project in Norway involves transporting liquid CO$_2$ by ship and storing it in a saline aquifer. The goal is to achieve net zero carbon emissions by 2050.
How does the Northern Lights project in Norway plan to transport and store CO$_2$?,"The Northern Lights project plans to transport liquid CO$_2$ by ship from capture sites to an intermediate storage facility, and then pump it through a subsea pipeline for injection into a saline aquifer at a depth of 2800m."
What is the storage capacity target for the Northern Lights project by 2024 and 2030?,The storage capacity target for the Northern Lights project is 1.5 million tonnes of CO$_2$ per year by 2024 and potentially increasing to 5 million tonnes of CO$_2$ per year by 2030.
How is the increase in storage volumes expected to impact the commercial viability of CCS projects?,"The increase in storage volumes over time is expected to reduce costs and increase the added value of low-carbon products, potentially making CCS commercially viable without government support."
What role do public-private partnerships play in the development of CCS projects?,Public-private partnerships are emerging to define the most appropriate ways to launch and sustain the massive investments needed for decarbonization and to ensure that regulation is in place for permanent storage of CO$_2$.
How are depleted hydrocarbon fields being repurposed in the context of the decarbonized economy?,"Depleted hydrocarbon fields are being converted into storage sites for CO$_2$, enabling them to be reused within the framework of the decarbonized economy."
What criteria are considered important when selecting host countries for CCS projects outside of Europe?,"The host country's appetite for CCS development as a means of deep decarbonization, along with the project size, are key criteria for selection in regions where CO$_2$ price discovery mechanisms are not yet established."
How are TotalEnergies and its partners working together to develop geological storage capacity outside of Europe?,"TotalEnergies is collaborating with partners, including National Oil and Gas Companies, to develop geological storage capacity for CO$_2$ in regions where new ways of thinking are required for deep decarbonization."
Why is working with multiple partners essential for the development of CCS projects?,"The growing scale and complexity of CCS projects require collaboration with various partners from the technology sector, transportation industries, CO$_2$ emitters, and energy companies to ensure successful implementation."
How do the first CCS projects developed by TotalEnergies in Europe act as a springboard for future global CCS developments?,"The first CCS projects in Europe by TotalEnergies serve as a model and foundation for future CCS developments worldwide, aligning with the goal of achieving ""net zero emissions."""
What are the three major aspects of Taipower's net zero strategy mentioned in the text?,"The three major aspects of Taipower's net zero strategy mentioned in the text are supply, power grid, and demand."
"According to the United Nations report, by what year should net zero emissions be achieved to keep the increase in temperature within 1.5 degrees C?","According to the United Nations report, net zero emissions should be achieved by 2050 to keep the increase in temperature within 1.5 degrees C."
