Question,Answer
What strategies has CPC adopted in response to the goal of achieving net zero emissions by 2050?,"CPC has focused on eight areas: transition strategies, hydrogen power, carbon capture, utilization and storage, low-carbon/zero-carbon energy development, offshore wind power, low-carbon/zero-carbon product supply, refinement transition, and carbon reduction in manufacturing to facilitate the transition to net zero emissions."
How has CPC's greenhouse gas (GHG) emissions performance improved over the years?,"CPC has reduced its GHG emissions from 11.58 million tonnes in 2005 to 7.11 million tonnes in 2020, marking a 38.6% decrease, which exceeds the amount required by regulations."
What are the mid-term goals set by CPC for GHG emissions reduction?,CPC has set mid-term goals of a 40.6% reduction in emissions from 2005 levels by 2025 and a 49.5% reduction by 2030 on the pathway towards achieving net zero emissions by 2050.
How does CPC plan to enhance power efficiency in its refineries?,"CPC plans to enhance power efficiency by upgrading manufacturing processes, expanding productivity, adopting advanced technologies, setting power consumption regulations, reinforcing inspection and maintenance, and improving manufacturing process systems."
What renewable energy sources is CPC developing as part of its GHG reduction strategies?,"CPC is developing solar power systems and geothermal energy in Taiwan. By 2036, the solar power generation capacity is expected to reach 26MW, and by 2045, 35MW. Additionally, CPC aims to reach 4MW of geothermal energy capacity by 2023, 23.6MW by 2030, and 127MW by 2050."
How is CPC utilizing low-carbon fuels in its operations?,CPC is utilizing low-carbon fuels like natural gas and cold energy to decrease power usage and reduce emissions in its operations.
What role does the CPC Climate Change Response Team play in CPC's net zero transition?,"The CPC Climate Change Response Team, chaired by the Chairman of the Board, focuses on various areas such as transition strategies, hydrogen power, carbon capture, utilization and storage, and offshore wind power to drive CPC's transition to net zero emissions."
How does CPC plan to incorporate carbon-negative technologies in its carbon reduction efforts?,"CPC plans to incorporate carbon-negative technologies such as renewable energy, hydrogen power, and carbon capture, storage, and utilization to help achieve the long-term goal of net zero emissions by 2050."
What steps has CPC taken to bolster power management in its manufacturing process?,"CPC has integrated power management in manufacturing and heaters, recycled and reused oil gas, crude hydrogen, and mid and low-pressure steam to enhance power efficiency, and utilized low-carbon fuels like natural gas to improve power management in its manufacturing process."
What are the key areas of focus for the CPC Climate Change Response Team?,"The CPC Climate Change Response Team focuses on transition strategies, hydrogen power, carbon capture, utilization and storage, low-carbon/zero-carbon energy development, offshore wind power, low-carbon/zero-carbon product supply, refinement transition, and carbon reduction in manufacturing to drive CPC's net zero transition."
"What are the target carbon capture and utilization capacities set by CPC for the years 2030, 2040, and 2050?","CPC plans to reach a carbon capture capacity of 1,000,000 tonnes per year by 2030, 2,000,000 tonnes by 2040, and 3,000,000 tonnes by 2050. Additionally, the carbon utilization capacity will account for 250,000 tonnes by 2030."
What pilot test activities will CPC carry out when a suitable carbon storage site is chosen?,"CPC will conduct activities such as monitoring, well drilling, surface facility engineering, and public outreach for the pilot test at the chosen carbon storage site."
How does CPC plan to boost power efficiency in refineries to reduce carbon emissions?,"CPC aims to increase power efficiency in refineries by 1.7% through encouraging carbon reduction and power-saving plans, facility renewal, and regional resource integration."
What are the key components of CPC's carbon reduction strategies?,"The key components include reducing carbon and saving power in the production process, supplying carbon-neutral products, conducting carbon footprint inventories, and developing carbon-negative technologies like CCS and CCU."
What technologies are included in CPC's carbon capture and utilization plans?,"CPC plans to develop technologies such as carbon capture and storage (CCS) for enhanced carbon storage capacity and carbon capture and utilization (CCU) including methanol production, hydrogenation catalyst systems, and biofuel development."
