Question,Answer
How does Taiwan plan to meet the demand for hydrogen in the short term?,"Taiwan plans to rely on the production of hydrogen from natural gas through steam reforming and the use of industrial hydrogen by-products, as well as assessing the feasibility of importing hydrogen through cooperation with foreign countries."
What are the development goals for hydrogen energy application technology in Taiwan?,"The development goals include all-hydrogen/ hybrid hydrogen power generation, introducing hydrogen into the steel production process, and steel and chemical co-production."
How is Taiwan planning to improve energy efficiency in the industrial sector?,"Taiwan plans to promote energy efficiency in the industrial sector through mandatory regulations, annual energy auditing systems, and setting energy saving targets and implementation plans."
What is the average annual energy saving rate achieved by large industrial energy users in Taiwan from 2015 to 2020?,The average annual energy saving rate of large industrial energy users in Taiwan from 2015 to 2020 is 1.76%.
How does Taiwan incentivize enterprises to improve energy efficiency?,"Taiwan promotes energy efficiency and competitiveness of enterprises by offering energy saving improvement subsidies, introducing professional technologies for the energy technology service industry, and encouraging the replacement of old equipment with high-energy-efficient alternatives."
What are the main industrial sectors in Taiwan that have energy efficiency regulations in place?,"Taiwan has energy efficiency regulations for six major industries: petrochemical, electronics, steel, cement, textile, and paper."
How is Taiwan planning to build hydrogen energy transmission and storage infrastructure in the medium to long term?,Taiwan plans to build hydrogen infrastructure to meet the needs of hydrogen application fields in the medium to long term.
What are some of the mechanisms used to guide large energy users in Taiwan to increase the effectiveness of energy saving?,"Taiwan guides large users to increase the effectiveness of energy saving through mechanisms such as industrial process improvement, public equipment replacement, and equipment maintenance and repair."
How does Taiwan aim to achieve carbon neutrality in the industrial sector?,"Taiwan aims to achieve carbon neutrality in the industrial sector by changing the fuel of steelmaking blast furnaces to hydrogen-containing gas, thereby reducing process emissions."
What are some of the key areas of focus for Taiwan in the transition to net-zero emissions by 2050?,"Taiwan's key areas of focus include maximizing renewable energy development, assessing international hydrogen supply, establishing an environment for hydrogen energy development, refining regulations and incentives for energy conservation, and improving energy efficiency in industry and manufacturing."
"What are some of Yu Cheng-Wei's specialties as the Director General of the Bureau of Energy, Ministry of Economic Affairs?","Yu Cheng-Wei's specialties include Integrated Energy Planning, Industry planning, Industrial safety and Environmental protection, and Planning, development, and management of Industrial zones."
How are science-based targets different from previous Group climate goals?,"Science-based targets are set for the entire value chain, including the user phase, and are absolute reductions not in relation to cost of sales, showing a commitment to real change."
What are the science-based targets set by the Group for 2030?,"The Group's science-based targets for 2030 include reducing greenhouse gas emissions in line with the Paris agreement to keep global temperature rise below 2 ??, with a particular focus on absolute reductions throughout the entire value chain."
In what ways is the Group planning to reduce emissions from purchased energy and their own operations (scope 1 and 2 targets)?,"The Group plans to reduce emissions by switching to fossil-free energy sources like solar and wind, using low-emission vehicles, and reducing emissions generated in their operations."
How does the Group plan to reduce emissions in upstream and downstream activities (scope 3 targets)?,"The Group aims to reduce indirect emissions from up-and downstream activities by 28% by 2030 by focusing on parts of the value chain outside their control, ensuring emissions are in line with the Paris agreement."
What are the three scopes covered in the science-based targets?,"The three scopes covered in the science-based targets are scope 1 (direct climate impact from operations), scope 2 (indirect emissions from energy use), and scope 3 (indirect emissions from up-and downstream activities)."
How does the Group plan to increase product energy-efficiency to reduce emissions from product usage?,"The Group plans to increase products' energy-efficiency, ensure optimal usage and maintenance, and design products to be powered by electricity rather than diesel or air."
Why is it essential for companies to commit to science-based targets in reducing greenhouse gas emissions?,Committing to science-based targets helps companies address all relevant emissions across their value chain and align their actions with global climate goals like those set in the Paris agreement.
What are some examples of emerging low-carbon technologies mentioned in the text?,"Examples of emerging low-carbon technologies include energy production, energy storage, smart manufacturing processes, and advancements in transportation systems."
How can setting science-based targets lead to new business opportunities and talent attraction?,"Setting science-based targets challenges companies to raise their ambitions, which can open new business opportunities, attract the needed talent, and establish the company as a driver of technological advancements."
How can supporting customers in the shift to fossil-free energy sources contribute to a reduction in emissions?,"By collaborating with local energy providers to increase access to fossil-free energy, we can help reduce the dependency on fossil fuels and transition towards more climate-friendly energy sources, ultimately lowering emissions."
Why is it important for the company to review its science-based targets every five years?,"Reviewing science-based targets ensures that they are in alignment with the latest climate science and relevant to the nature and size of the company's operations, allowing for continual improvement in reducing emissions."
