Question,Answer
What are the dimensions of the robot in lying position?,"The dimensions of the robot in lying position are $942 \, \text{mm} \times 663 \, \text{mm} \times 450 \, \text{mm}$."
What is the weight of the robot including the battery and inspection payload?,The weight of the robot including the battery and inspection payload is 56.3 kg.
What is the maximum walking speed of the robot?,The maximum walking speed of the robot is 1.3 m/s.
How many hoist points does the robot have?,The robot has 4 hoist points.
What is the function of the Wi-Fi antenna on the robot?,The Wi-Fi antenna is used for communicating with the robot when in autonomous mode of operation.
What is the purpose of the emergency stop button on the robot?,The emergency stop button is used to stop the robot in the event of an emergency.
How many leg cooling fans are there in the robot?,"There are 8 leg cooling fans in the robot, with 2 cooling fans on each of the 4 legs."
What does the LIDAR unit on the robot do?,The LIDAR unit is used as part of the robot navigation and movement system.
What is the purpose of the power button on the robot?,The power button is used to power the robot on and off.
Where is the Ethernet socket located on the robot?,The Ethernet socket is situated on the top of the robot.
What is the purpose of the RS-232 socket on the inspection payload?,The RS-232 socket is used for serial communication and connecting peripheral devices to the inspection payload.
"Where is the additional power connector located on the Robot, and what is its function?",The additional power connector is located next to the antenna at the front of the Robot. It provides power for any additional equipment fitted to the Robot.
"How many hoist points does the Robot have, and how should they be utilized for lifting the Robot?","The Robot is equipped with four hoist points, two in the front and two in the back. These hoist points can be used to carry the Robot manually using a provided set of handles."
What sensors does the Robot have for perceiving its state and surroundings?,"The Robot has an inertial measurement unit, depth cameras, wide-angle camera, and Lidar unit for sensing the position, orientation, terrain, objects, obstacles, and velocities of the Robot and its components."
"Where is the danger zone active warning light located on the Robot, and when does it indicate a warning?","The danger zone active warning light is located on the top of the Lidar unit. It turns on when a command to enable the actuators has been issued, signaling bystanders to leave the vicinity or activate emergency stops."
What is the function of the diagnostic lights on top of the Lidar unit inside the danger zone warning light?,The diagnostic lights are used to provide information when testing safety functions and are not utilized during normal operation of the Robot.
How can the e-stop diagnostic lights on the Robot be used to indicate different states?,"The left-side e-stop diagnostic light indicates the engagement or disengagement of the Robot emergency stop, while the right-side light reflects the status of GUI cut power and drive-enable requests."
