Question,Answer
What is the main goal of the Low Carbon Initiative (LCI) established by the ECCT in Taiwan?,"The main goal of the LCI is to raise awareness about sustainable development, promote the adoption of low carbon solutions, and help Taiwan reduce its carbon emissions."
"How many working groups are under the Low Carbon Initiative (LCI) in Taiwan, and what are their specific focuses?","There are four working groups under the LCI in Taiwan. They focus on Green Finance, ESG, and CPPA; Energy Saving and Green Building; Eco-mobility & Eco-logistics; and Sustainable Supply Chain."
What types of projects does the Eco-mobility & Eco-logistics working group of the LCI focus on promoting in Taiwan?,"The Eco-mobility & Eco-logistics working group promotes projects related to using green electricity for EV infrastructure, efficient grid & power dispatch systems, alternative fuels, hydrogen, and eco-logistics."
How does the Sustainable Supply Chain working group of the LCI contribute to promoting responsible production and consumption in Taiwan?,The Sustainable Supply Chain working group advocates for responsible production and consumption by collaborating with the government and industry. They also arrange site visits to successful examples of sustainable supply chains.
"What year did CPC Corporation change its English name from ""Chinese Petroleum Corporation"" to ""CPC Corporation, Taiwan""?","CPC Corporation changed its English name from ""Chinese Petroleum Corporation"" to ""CPC Corporation, Taiwan"" in 2007."
What are some key components of CPC's Sustainable Operation Policy in Taiwan?,"Some key components of CPC's Sustainable Operation Policy include compliance with national regulations, clean manufacturing methodology, resource conservation, CSR commitments, environmental indicators, and product development."
How has the membership of the Low Carbon Initiative (LCI) evolved since 2013?,"The membership of the LCI has risen notably from 14 to 91 since 2013, showcasing a significant increase in participation and support."
What role does the LCI Steering Committee play in the operation of the Low Carbon Initiative in Taiwan?,The LCI Steering Committee supervises the Low Carbon Initiative and oversees its seven categories and four working groups to ensure effective implementation of low carbon solutions in Taiwan.
How does the LCI aim to contribute to Taiwan's goal of achieving net zero carbon emissions by 2050?,"The LCI aims to contribute to Taiwan's goal of net zero carbon emissions by 2050 through showcasing best practices, engaging local industry and policymakers, and promoting the adoption of low carbon solutions across various sectors."
How does the Energy Saving and Green Building working group of the LCI promote best practices in Taiwan?,"The Energy Saving and Green Building working group promotes best practices in Taiwan through high-level roundtable dialogues with the government and events organized with LCI members and partners, focusing on energy saving and green building initiatives."
What are the components of CPC's Sustainable Operations Promotion Committee mentioned in the provided text?,"The components of the CPC's Sustainable Operations Promotion Committee mentioned in the text include the Chairman, President, Vice Presidents, Spokesman, CEOs of major business units, external scholars, and experts."
How does CPC communicate with its stakeholders regarding sustainability issues as mentioned in the text?,"CPC communicates with stakeholders by providing related information on its website, issuing annual reports, and releasing annual Sustainability Reports since 2007 to demonstrate its commitment to communication with stakeholders."
"How does CPC plan to align its sustainable development program in the future, according to the text?","CPC plans to apply the UN's Sustainable Development Goals (SDGs) as benchmarks for its own sustainable development program in the future, highlighting sustainable operation issues through its Sustainable Operations Promotion Committee's work and disclosing information related to sustainable development."
What are some of the awards and honors received by CPC in 2021 mentioned in the text?,"In 2021, CPC received awards like the Reader's Digest Trustworthy Brand Platinum Award, Asia Responsible Enterprise Awards (AREA) Green Leadership Award, Leadership Award, Sustainability Advocates in Asia Award, and several Taiwan Corporate Sustainability Awards."
"How does CPC aim to benefit ""environmental protection"", ""economic development"", and ""social care"" according to the provided information?","CPC aims to benefit ""environmental protection"", ""economic development"", and ""social care"" by working with all parties to create a better future through sustainable practices and involvement with stakeholders."
What is the significance of the UN's Sustainable Development Goals (SDGs) for CPC's future plans?,The UN's Sustainable Development Goals (SDGs) are significant for CPC as they will be used as benchmarks for the company's sustainable development program and guide its efforts towards promoting sustainability across various aspects of its operations.
"How often does the CPC's committee mentioned in the text convene, and what is the purpose of these meetings?","The committee mentioned in the text convenes three times a year to discuss reports and proposals regarding social pulse, sustainability issues, and implementation progress in the fields of environmental protection, economic development, social care, and sustainable operations."
In which year did CPC start recruiting external scholars and experts as committee members according to the information provided?,"Since 2008, CPC has recruited external scholars and experts as members of its committee in order to enhance the diversity of expertise and perspectives in its discussions regarding sustainability issues."
What is the role of the President within CPC's committee structure as mentioned in the text?,"The President of CPC holds the post of associate director of the committee, indicating a significant role in the decision-making and oversight processes within the organization's sustainable operations initiatives."
"How has CPC's communication with stakeholders been recognized by society, as per the text?","CPC's communication efforts with stakeholders, such as providing information on its website, issuing annual reports, and releasing Sustainability Reports, have been acclaimed by society and have resulted in the company receiving multiple awards for its dedication to transparent communication and sustainable practices."
What initiatives are companies taking to reduce carbon emissions and move towards carbon neutrality?,"Companies are setting scientific-based carbon reduction targets to enhance their ambitions, promoting sustainable prosperity transition, developing offshore wind energy, initiating financial transformation actions, and implementing CCS projects, among others."
How are companies such as Michelin contributing to reducing carbon emissions?,Michelin is contributing to reducing carbon emissions through their innovative tire technologies.
"Why is policy clarity crucial for the transition towards net zero emissions, as mentioned by RWE Renewables?",Policy clarity is crucial as it provides a clear roadmap for companies and industries to align their strategies towards achieving net zero emissions goals.
"What is the ""no regrets strategy"" adopted by Taiwan Power Company (Taipower) in their approach towards achieving net zero emissions?","The ""no regrets strategy"" implies that Taipower is implementing measures that will benefit the environment and society regardless of future uncertainties."
How is KPMG contributing to the development and investment in hydrogen energy technology worldwide?,KPMG is supporting the development and investment in hydrogen energy technology globally by providing insights on policies and market trends.
What collaboration efforts are being made by Air Liquide and Total Energies in the production of low-carbon hydrogen in the Normandy industrial basin?,Air Liquide and Total Energies are collaborating to develop low-carbon hydrogen production in the Normandy industrial basin.
